,0,1,2,3,4,5
139,2.258903798029994e-110,1.0,1.4612007709777286e-77,5.735724739115708e-102,5.579860593856405e-114,6.354789579709294e-63
140,2.6107216376525955e-103,1.0,2.0116695573901963e-73,2.646492420862447e-170,1.8902121010061142e-110,7.66999401273406e-55
141,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
142,0.0,0.0,0.0,1.0,2.511471215211969e-20,0.0
143,3.230041973589331e-128,1.0,1.1660203180199177e-100,1.191551177948854e-129,8.4934688592318e-134,1.1903118137004648e-79
144,1.59282743324751e-113,1.0,1.775073898252576e-82,1.1266292338549423e-105,3.1806089197434926e-117,2.442850228719377e-62
145,2.9773885086388714e-118,1.0,5.344896513581229e-87,4.8392304061493947e-185,1.9160264103078794e-122,4.528187712413391e-76
146,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
147,1.4636657026162472e-117,1.0,1.2176509918428199e-141,6.309952036369705e-246,5.176112075869111e-131,1.3766399954507126e-67
148,5.21834984811407e-114,1.0,7.460045426962404e-81,8.914909762753354e-99,1.7150527400424853e-113,9.710351172912299e-69
149,4.696973687244637e-23,1.0,1.4896506874506854e-167,0.0,4.150481415225365e-27,1.1090999901079242e-207
150,1.596463309259849e-75,0.0,0.0,1.0,5.150290571822229e-21,0.0
151,6.403236124761972e-113,0.0,0.0,0.9999999999999023,9.764697564881785e-14,0.0
152,2.497122000426311e-120,1.0,7.208811132328184e-130,4.837535471761646e-124,4.114504402343304e-125,4.984947751883228e-74
153,4.947413056791054e-118,1.0,1.9234550820079489e-113,6.470404290021158e-185,3.6317846686739017e-122,2.115774900134258e-74
154,3.180526002430895e-113,0.0,0.0,0.999999999999893,1.069683326056971e-13,0.0
155,2.028666615226069e-103,1.0,2.125877691833106e-70,9.488415381611863e-93,1.1148503950119615e-105,7.142220060161721e-55
156,1.4248815081427854e-124,1.0,1.93178862840725e-91,2.113565174725807e-112,6.02099557124726e-126,5.391722380451246e-75
157,1.742172110281223e-119,1.0,4.6327323549544393e-88,1.5033618240412782e-107,1.0795472251728446e-120,5.580219668563543e-71
158,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
159,1.396797147834244e-54,1.0,9.04893249792522e-120,3.2769629835918212e-74,3.124719894460172e-69,1.7608365044675368e-41
160,6.556628398869105e-103,1.0,5.068594166489031e-73,6.4324193136268244e-170,4.7291372137563473e-110,2.4321197981557794e-54
161,2.6133908785277586e-113,0.0,0.0,0.9999999999999285,7.151396680959152e-14,0.0
162,2.393263653145503e-118,1.0,2.1873753067972103e-88,1.6356692116917113e-132,6.136436589447258e-124,4.1157152261493577e-72
163,3.8373891177216843e-121,1.0,2.0040999868442606e-100,5.136528858529219e-137,8.149040386287374e-128,1.1905286879354768e-76
164,1.3949735754600764e-106,1.0,1.5797366581759554e-81,1.252316866230106e-98,3.918947834222348e-110,8.975387127274157e-58
165,6.640410554563539e-107,1.0,7.462401676177298e-82,5.59779711528639e-99,1.7829603088970844e-110,5.731993062553488e-58
166,1.769687676134212e-124,1.0,1.7386449534682942e-95,6.925562499746288e-140,5.199259676468565e-130,1.120857190450267e-80
167,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
168,6.312287390593439e-74,1.0,3.057136268114634e-39,2.2438193904016332e-54,2.332736232326806e-72,1.1555865178270992e-26
169,1.612865553034305e-117,1.0,1.2831741275838326e-87,9.371921621232063e-132,3.919567520004235e-123,1.2012697702332306e-71
170,1.836131474999829e-52,0.999999811195441,4.0320214375670496e-16,4.454081051998925e-130,2.7231966383806347e-63,1.8880455848468743e-07
171,3.457634202817343e-110,1.0,2.494168806872333e-77,1.361665281440752e-101,7.144005732124512e-114,1.3372158083230647e-61
172,4.598286120399325e-117,1.0,3.6668275248902676e-141,2.000990418031682e-245,1.6806317281590674e-130,2.2211025259377764e-67
173,7.888557157491817e-118,1.0,1.0215868989911942e-89,8.943560820324043e-104,4.117313889596682e-119,2.715498044926402e-70
174,1.0093509493131335e-80,0.0,0.0,1.0,9.734121562437723e-20,0.0
175,1.8356098509460995e-43,8.452630201606196e-150,1.2589395109695992e-49,5.828117204177066e-34,4.965900889698606e-48,1.0
176,5.824797511727216e-101,0.0,1.4731790179217265e-106,1.0,7.620004341416591e-25,0.0
177,6.093035094891945e-71,1.0,1.332708426194421e-94,6.1191366860932325e-61,1.769041358881156e-80,6.06020450739395e-25
178,2.1297901028877232e-113,0.0,0.0,0.9999999999999096,9.039156984330024e-14,0.0
179,4.157055286505267e-112,1.0,3.7937093373261253e-79,4.98373965865396e-104,2.1531324355357814e-115,1.9388178582809145e-61
180,6.687340612774469e-98,1.0,1.2803967165826752e-72,7.423517509654491e-179,1.083543751281253e-106,3.9967234801914073e-60
181,9.21702884377508e-251,0.0,0.0,1.0,9.491951283241872e-18,0.0
182,4.837750688442429e-49,6.059521279613983e-140,7.579986392544546e-97,3.638420814768544e-176,3.7199859066395555e-63,1.0
183,7.368155832747243e-121,1.0,4.952048071477867e-111,2.5568180547442245e-129,3.9648967613922176e-129,1.4568817800679377e-75
184,9.738192555760623e-82,0.0,0.0,1.0,4.2402505053735496e-20,0.0
185,1.2912088026281685e-104,1.0,1.608825953856786e-68,7.26964145939359e-173,8.901641075691175e-113,4.802856602416349e-55
186,6.328508667386137e-112,1.0,5.723420920184049e-79,7.598021442498516e-104,2.6259442433899433e-115,1.274587298671279e-60
187,3.837044915117207e-113,0.0,4.450177948698777e-185,1.0,1.9749690247436334e-17,1.0776506197778808e-294
188,1.075474505476799e-118,1.0,4.666224020270656e-83,2.9638042071120783e-124,5.0041397135694315e-130,6.353437801432098e-75
189,4.237445184359671e-101,1.0,8.995510551010734e-80,3.118073108030012e-89,6.71840042952377e-102,1.8421303884439968e-62
190,1.885469012633047e-21,1.0,5.822731107256759e-166,0.0,1.7236011659477105e-25,8.499222092120896e-208
191,3.005909041889996e-113,0.0,0.0,0.9999999999998914,1.085381895102662e-13,0.0
192,2.2501579935243362e-107,1.0,3.3069260101426897e-103,5.934339762912953e-95,3.9760187688666714e-108,8.575605970976376e-68
193,1.1078006061377707e-106,1.0,2.0492200873712923e-305,1.822808533691408e-90,9.834972749745051e-104,1.354006827139708e-116
194,3.78524631861912e-124,0.0,0.0,1.0,9.287863765363717e-23,0.0
195,5.976285434559712e-107,1.0,1.2141737931114558e-305,9.3411020898154e-91,5.3657031687188565e-104,4.216025213421269e-118
196,0.0,0.0,0.0,0.9999999999999993,5.926056592496918e-16,0.0
197,1.5832413287453493e-111,0.0,0.0,0.9999999999999709,2.903449551945698e-14,0.0
198,2.4675422696525376e-43,1.4795301125491242e-149,1.721724387177519e-49,7.381513022374634e-34,6.554558745791198e-48,1.0
199,5.332522157163085e-99,1.0,3.029153730266936e-300,2.1270052567204975e-182,2.4952747341916136e-102,6.319898589624485e-156
200,4.785947911772928e-49,2.9343583243829757e-145,6.9471808957215985e-34,8.73581758713676e-42,4.553477990129625e-56,1.0
201,8.132110188038755e-119,1.0,2.9167606502139712e-89,5.366473974381483e-106,1.224746840631642e-120,5.753612753804618e-75
202,6.282179009066684e-113,0.0,0.0,0.9999999999999021,9.803016449122918e-14,0.0
203,5.838470922613989e-113,0.0,0.0,0.9999999999998974,1.026207299022474e-13,0.0
204,2.6107216376525955e-103,1.0,2.0116695573901963e-73,2.646492420862447e-170,1.8902121010061142e-110,7.66999401273406e-55
205,1.206977941758239e-113,1.0,1.7525925208411006e-80,1.954915645792125e-98,3.878027583802816e-113,1.596115654179391e-68
206,8.947089576110718e-262,0.0,0.0,1.0,1.534942323512669e-24,0.0
207,1.31432597873513e-119,1.0,3.5150020927780145e-88,1.174776945223402e-107,8.415815065098815e-121,4.082376966104091e-71
208,8.64470308308647e-93,1.0,1.4354367667274756e-154,6.640068783273676e-95,8.266581878770733e-102,5.4716054362911256e-55
209,1.621663492458681e-113,0.0,0.0,0.9999999999999445,5.548970125045026e-14,0.0
210,1.939630780986239e-60,8.49048444267494e-282,5.779047991499706e-19,1.354728901315667e-90,1.43119985209837e-94,1.0
211,1.4374786785479056e-28,8.977995361045839e-64,8.103409176800994e-30,3.625803103742935e-20,1.4904872301308006e-27,1.0
212,1.1226099691225636e-253,0.0,0.0,1.0,1.4384685376567367e-19,0.0
213,1.7769857873087145e-98,1.0,1.2424538259431385e-299,8.737906620718595e-182,8.366835284194144e-102,1.738987034671157e-155
214,1.923609171184619e-75,0.0,0.0,1.0,7.921119734672327e-18,0.0
215,1.3674278144509133e-118,1.0,5.994922219257268e-83,3.6689883236470077e-124,6.222278948277478e-130,1.6688632502635198e-74
216,1.6568883943692135e-113,0.0,0.0,0.9999999999999465,5.3499012673967e-14,0.0
